p,time
1004.2808109622391,81989889539494
1004.2887612097397,81989989539494
1004.3002997187828,81990089539494
1004.3100670675535,81990189539494
1004.3147644320848,81990289539494
1004.3136599999999,81990389539494
1004.3116118214563,81990489539494
1004.3071966979696,81990589539494
1004.3066711797296,81990689539494
1004.3093631864904,81990789539494
1004.31036,81990889539494
1004.3088212054163,81990989539494
1004.3037912120212,81991089539494
1004.2969080499442,81991189539494
1004.2916761589986,81991289539494
1004.2890760401093,81991389539494
1004.285689009725,81991489539494
1004.2780724094616,81991589539494
1004.271273283916,81991689539494
1004.2684418843793,81991789539494
1004.2684711735706,81991889539494
1004.26953,81991989539494
1004.267683477052,81992089539494
1004.2605502966028,81992189539494
1004.2522209640417,81992289539494
1004.2463834594537,81992389539494
1004.2402473262396,81992489539494
1004.2353615409891,81992589539494
1004.230946754942,81992689539494
1004.2257546191652,81992789539494
1004.2266395851312,81992889539494
1004.2268211400999,81992989539494
1004.2233885528142,81993089539494
1004.222,81993189539494
1004.222,81993289539494
1004.2191597921308,81993389539494
1004.2152686023088,81993489539494
1004.2118314304618,81993589539494
1004.21045,81993689539494
1004.2106780341684,81993789539494
1004.2108,81993889539494
1004.2108,81993989539494
1004.2074634229234,81994089539494
1004.2058,81994189539494
1004.2046079251221,81994289539494
1004.2088163734711,81994389539494
1004.2086282778697,81994489539494
1004.2050933586232,81994589539494
1004.2030051738813,81994689539494
1004.1976196491173,81994789539494
1004.1932064323676,81994889539494
1004.1911065911708,81994989539494
1004.1907,81995089539494
1004.1907,81995189539494
1004.1919199010823,81995289539494
1004.1939446655321,81995389539494
1004.1905191612227,81995489539494
1004.1797894695384,81995589539494
1004.1800390825128,81995689539494
1004.17249030416,81995789539494
1004.1647689303836,81995889539494
1004.16243867551,81995989539494
1004.1567078661044,81996089539494
1004.155657605425,81996189539494
1004.1469094412068,81996289539494
1004.146820371064,81996389539494
1004.1457237134995,81996489539494
1004.135385434079,81996589539494
1004.1350337217168,81996689539494
1004.1324329963737,81996789539494
1004.1289856632236,81996889539494
1004.1270160446139,81996989539494
1004.1253937698793,81997089539494
1004.1238043816952,81997189539494
1004.1238674028293,81997289539494
1004.1209320653372,81997389539494
1004.1144251650952,81997489539494
1004.1090490787652,81997589539494
1004.1090594592232,81997689539494
1004.1074414673703,81997789539494
1004.1089788208697,81997889539494
1004.1058066835762,81997989539494
1004.09873394918,81998089539494
1004.0951374611212,81998189539494
1004.0981864973653,81998289539494
1004.0955645400708,81998389539494
1004.0941245165995,81998489539494
1004.0941,81998589539494
1004.0890992659904,81998689539494
1004.0873900291459,81998789539494
1004.0856549055844,81998889539494
1004.0821726921243,81998989539494
1004.0805449538595,81999089539494
1004.081973673279,81999189539494
1004.0753921648362,81999289539494
1004.0720098519366,81999389539494
1004.0705195294632,81999489539494
1004.074230658335,81999589539494
1004.074658494667,81999689539494
1004.072819481605,81999789539494
1004.0709463341632,81999889539494
1004.0670895597232,81999989539494
1004.0566220283356,82000089539494
1004.0455489673503,82000189539494
1004.0473385778647,82000289539494
1004.04584,82000389539494
1004.0450256906993,82000489539494
1004.0393496978412,82000589539494
1004.0421013714572,82000689539494
1004.040527344186,82000789539494
1004.0391796000584,82000889539494
1004.0388883596668,82000989539494
1004.0508809505476,82001089539494
1004.0460408822696,82001189539494
1004.0450761129857,82001289539494
1004.0473611855807,82001389539494
1004.0404893953478,82001489539494
1004.0335730180574,82001589539494
1004.0278,82001689539494
1004.0278,82001789539494
1004.0275267466161,82001889539494
1004.0259772780327,82001989539494
1004.02440620671,82002089539494
1004.0233068943587,82002189539494
1004.0195997494408,82002289539494
1004.0094092183307,82002389539494
1004.0083544771993,82002489539494
1004.0090204174933,82002589539494
1004.0036082709123,82002689539494
1003.9939216677234,82002789539494
1003.9945121563622,82002889539494
1003.9966182076328,82002989539494
1003.9977191161051,82003089539494
1003.9959802083299,82003189539494
1003.9943685233444,82003289539494
1003.9904518691247,82003389539494
1003.9824236430478,82003489539494
1003.9794084469372,82003589539494
1003.9725436015705,82003689539494
1003.965527545507,82003789539494
1003.9603072933332,82003889539494
1003.9602113909017,82003989539494
1003.962711817178,82004089539494
1003.9636523711833,82004189539494
1003.9608183156176,82004289539494
1003.95091932049,82004389539494
1003.9468638009712,82004489539494
1003.9394852972748,82004589539494
1003.9349853240187,82004689539494
1003.9297471650431,82004789539494
1003.92426,82004889539494
1003.9255647410512,82004989539494
1003.9278918708479,82005089539494
