p,time
1005.0205234312537,82377934527681
1005.028472062724,82378034527681
1005.0335195682941,82378134527681
1005.0371676974339,82378234527681
1005.0420903591611,82378334527681
1005.0437860552111,82378434527681
1005.0426129134732,82378534527681
1005.0371872993021,82378634527681
1005.0354734011787,82378734527681
1005.037007535563,82378834527681
1005.033428011414,82378934527681
1005.028595991324,82379034527681
1005.0256697312483,82379134527681
1005.0289946171722,82379234527681
1005.0311966740643,82379334527681
1005.0214845483639,82379434527681
1005.0127036191697,82379534527681
1005.0084238100792,82379634527681
1005.0026577539765,82379734527681
1004.9945388085154,82379834527681
1004.9911658911783,82379934527681
1004.984267718116,82380034527681
1004.9808325922439,82380134527681
1004.9807616632236,82380234527681
1004.9781623036264,82380334527681
1004.9746839759758,82380434527681
1004.9641561834624,82380534527681
1004.9551645121434,82380634527681
1004.9516778100776,82380734527681
1004.9472433576883,82380834527681
1004.9430383680887,82380934527681
1004.9435689720184,82381034527681
1004.9450699999999,82381134527681
1004.9480404773263,82381234527681
1004.9502,82381334527681
1004.949175278284,82381434527681
1004.9454498229726,82381534527681
1004.9435,82381634527681
1004.9415928949617,82381734527681
1004.9351446773906,82381834527681
1004.93195,82381934527681
1004.9262738267653,82382034527681
1004.921846573933,82382134527681
1004.9188927661844,82382234527681
1004.9153959269333,82382334527681
1004.9132033976193,82382434527681
1004.9068385882592,82382534527681
1004.9004936311547,82382634527681
1004.9013251819753,82382734527681
1004.8999384053744,82382834527681
1004.89886,82382934527681
1004.897751426334,82383034527681
1004.8960088368867,82383134527681
1004.892975897333,82383234527681
1004.890843327198,82383334527681
1004.887871784084,82383434527681
1004.882839173932,82383534527681
1004.8791948732088,82383634527681
1004.8746548458932,82383734527681
1004.8625773551964,82383834527681
1004.8597249687607,82383934527681
1004.8610479438468,82384034527681
1004.855659132302,82384134527681
1004.8546149325334,82384234527681
1004.8533212688125,82384334527681
1004.847090004812,82384434527681
1004.8472394552604,82384534527681
1004.8516457128596,82384634527681
1004.8525400000001,82384734527681
1004.84972206645,82384834527681
1004.8448979662712,82384934527681
1004.8412312955085,82385034527681
1004.8330915501767,82385134527681
1004.832158848562,82385234527681
1004.828979069531,82385334527681
1004.8270480246596,82385434527681
1004.8270686439264,82385534527681
1004.8271,82385634527681
1004.8228149933113,82385734527681
1004.8158809359217,82385834527681
1004.8120776373453,82385934527681
1004.804253152033,82386034527681
1004.8047358125136,82386134527681
1004.7955278197979,82386234527681
1004.7950137374199,82386334527681
1004.7965125406264,82386434527681
1004.788444694924,82386534527681
1004.7832169084284,82386634527681
1004.7798585435336,82386734527681
1004.776417809957,82386834527681
1004.768065522988,82386934527681
1004.7677,82387034527681
1004.7677,82387134527681
1004.7677,82387234527681
1004.764032161721,82387334527681
1004.7586883140422,82387434527681
1004.7586699999999,82387534527681
1004.7553,82387634527681
1004.7553032184495,82387734527681
1004.755399979946,82387834527681
1004.7484570704311,82387934527681
1004.7418351480108,82388034527681
1004.7400366848152,82388134527681
1004.7384599999999,82388234527681
1004.7382930099277,82388334527681
1004.7351411627625,82388434527681
1004.7366601012512,82388534527681
1004.7351558218993,82388634527681
1004.736674981316,82388734527681
1004.7356280757616,82388834527681
1004.7364215081864,82388934527681
1004.7298316521704,82389034527681
1004.7285144127808,82389134527681
1004.7303,82389234527681
1004.7301005238048,82389334527681
1004.7277719839806,82389434527681
1004.7212581955881,82389534527681
1004.718532758154,82389634527681
1004.7198152023993,82389734527681
1004.718752386612,82389834527681
1004.7187764657527,82389934527681
1004.7112650664445,82390034527681
1004.70984,82390134527681
1004.7095257894048,82390234527681
1004.7077997152254,82390334527681
1004.7048556061548,82390434527681
1004.6972356294051,82390534527681
1004.6931812457308,82390634527681
1004.6863257893226,82390734527681
1004.6801732112793,82390834527681
1004.6769999783785,82390934527681
1004.6748826701004,82391034527681
1004.6703006439914,82391134527681
1004.6629925905644,82391234527681
1004.6594785277883,82391334527681
1004.6565997575841,82391434527681
1004.65546,82391534527681
1004.6536004901436,82391634527681
1004.649990198194,82391734527681
1004.6522507549637,82391834527681
1004.6471678115615,82391934527681
1004.64231879898,82392034527681
1004.6372019422104,82392134527681
1004.6302757149136,82392234527681
1004.6219443007247,82392334527681
1004.617951225354,82392434527681
1004.615079179252,82392534527681
1004.6144421435392,82392634527681
1004.6086939698143,82392734527681
1004.6049201093103,82392834527681
