p,time
1004.15015,8.24186E+13
1004.149113,8.24187E+13
1004.146865,8.24188E+13
1004.15234,8.24189E+13
1004.152762,8.2419E+13
1004.153618,8.24191E+13
1004.147874,8.24192E+13
1004.132845,8.24193E+13
1004.126554,8.24194E+13
1004.126248,8.24195E+13
1004.126002,8.24196E+13
1004.127518,8.24197E+13
1004.124342,8.24198E+13
1004.120933,8.24199E+13
1004.118005,8.242E+13
1004.115642,8.24201E+13
1004.113004,8.24202E+13
1004.109074,8.24203E+13
1004.100176,8.24204E+13
1004.094245,8.24205E+13
1004.09218,8.24206E+13
1004.091315,8.24207E+13
1004.091469,8.24208E+13
1004.08557,8.24209E+13
1004.077295,8.2421E+13
1004.069135,8.24211E+13
1004.065473,8.24212E+13
1004.062314,8.24213E+13
1004.058629,8.24214E+13
1004.056959,8.24215E+13
1004.053651,8.24216E+13
1004.050224,8.24217E+13
1004.047918,8.24218E+13
1004.0461,8.24219E+13
1004.045294,8.2422E+13
1004.042957,8.24221E+13
1004.037146,8.24222E+13
1004.036429,8.24223E+13
1004.042748,8.24224E+13
1004.043638,8.24225E+13
1004.045782,8.24226E+13
1004.046502,8.24227E+13
1004.041353,8.24228E+13
1004.0372,8.24229E+13
1004.036541,8.2423E+13
1004.034357,8.24231E+13
1004.033156,8.24232E+13
1004.030852,8.24233E+13
1004.026954,8.24234E+13
1004.023762,8.24235E+13
1004.020373,8.24236E+13
1004.02001,8.24237E+13
1004.016524,8.24238E+13
1004.009613,8.24239E+13
1004.006129,8.2424E+13
1004.0056,8.24241E+13
1004.002433,8.24242E+13
1004.002983,8.24243E+13
1004.00444,8.24244E+13
1004.001421,8.24245E+13
1003.995585,8.24246E+13
1003.992261,8.24247E+13
1003.9917,8.24248E+13
1003.987215,8.24249E+13
1003.986314,8.2425E+13
1003.981155,8.24251E+13
1003.97372,8.24252E+13
1003.96926,8.24253E+13
1003.963506,8.24254E+13
1003.960591,8.24255E+13
1003.956616,8.24256E+13
1003.950151,8.24257E+13
1003.945833,8.24258E+13
1003.941123,8.24259E+13
1003.942254,8.2426E+13
1003.938074,8.24261E+13
1003.9363,8.24262E+13
1003.933632,8.24263E+13
1003.934157,8.24264E+13
1003.9346,8.24265E+13
1003.933188,8.24266E+13
1003.928921,8.24267E+13
1003.928087,8.24268E+13
1003.925685,8.24269E+13
1003.9251,8.2427E+13
1003.925207,8.24271E+13
1003.919553,8.24272E+13
1003.915615,8.24273E+13
1003.918288,8.24274E+13
1003.92034,8.24275E+13
1003.91295,8.24276E+13
1003.905685,8.24277E+13
1003.897721,8.24278E+13
1003.893719,8.24279E+13
1003.888789,8.2428E+13
1003.886589,8.24281E+13
1003.885246,8.24282E+13
1003.888466,8.24283E+13
1003.886964,8.24284E+13
1003.8868,8.24285E+13
1003.882427,8.24286E+13
1003.877282,8.24287E+13
1003.866449,8.24288E+13
1003.863401,8.24289E+13
1003.861834,8.2429E+13
1003.853636,8.24291E+13
1003.851625,8.24292E+13
1003.849855,8.24293E+13
1003.8448,8.24294E+13
1003.84467,8.24295E+13
1003.841356,8.24296E+13
1003.837939,8.24297E+13
1003.839897,8.24298E+13
1003.834757,8.24299E+13
1003.824619,8.243E+13
1003.826271,8.24301E+13
1003.825151,8.24302E+13
1003.826674,8.24303E+13
1003.822984,8.24304E+13
1003.816514,8.24305E+13
1003.816913,8.24306E+13
1003.817938,8.24307E+13
1003.808571,8.24308E+13
1003.815448,8.24309E+13
1003.811748,8.2431E+13
1003.806587,8.24311E+13
1003.805523,8.24312E+13
1003.806927,8.24313E+13
1003.803379,8.24314E+13
1003.79896,8.24315E+13
1003.786711,8.24316E+13
1003.786604,8.24317E+13
1003.784608,8.24318E+13
1003.78143,8.24319E+13
1003.779868,8.2432E+13
1003.775662,8.24321E+13
1003.7666,8.24322E+13
1003.765943,8.24323E+13
1003.760076,8.24324E+13
1003.76164,8.24325E+13
