m,time
17.10543055619888,3111877285845
17.426776113479708,3111977285845
17.78980024448757,3112077285845
18.11250374832917,3112177285845
18.097714583557032,3112277285845
18.13222051751836,3112377285845
17.970336013732947,3112477285845
17.87961930419767,3112577285845
17.80973496676713,3112677285845
17.755873052645914,3112777285845
17.49889241791053,3112877285845
16.987764772551856,3112977285845
17.010207865768162,3113077285845
16.91059741880731,3113177285845
17.010207865768162,3113277285845
17.069323063221958,3113377285845
17.09121201483133,3113477285845
17.186958484295616,3113577285845
17.421772583303294,3113677285845
17.34774096948471,3113777285845
17.07891521778945,3113877285845
17.074434343616705,3113977285845
16.800418564557802,3114077285845
16.74169095401756,3114177285845
15.949116889167822,3114277285845
16.033837710039695,3114377285845
15.79991686453932,3114477285845
15.837655218475135,3114577285845
15.75670297502095,3114677285845
15.527123334443955,3114777285845
15.452750830770887,3114877285845
15.379482196843755,3114977285845
14.904710219885864,3115077285845
14.904710219885864,3115177285845
14.952765653766773,3115277285845
15.076432413390036,3115377285845
15.344305127200807,3115477285845
15.223386610130751,3115577285845
15.254326976541,3115677285845
15.261533726872516,3115777285845
14.904943016886747,3115877285845
13.929761807413115,3115977285845
14.331546683336068,3116077285845
14.331546683336068,3116177285845
14.331546683336068,3116277285845
14.283687577714222,3116377285845
14.090363569683024,3116477285845
13.262959013455756,3116577285845
12.873533195920508,3116677285845
13.567650953821143,3116777285845
13.551915250134229,3116877285845
13.412480772704422,3116977285845
13.985404131464465,3117077285845
13.84510148313016,3117177285845
13.93129092765535,3117277285845
13.540370009715257,3117377285845
13.496738570294886,3117477285845
12.720477104663795,3117577285845
12.614477116648766,3117677285845
10.924317357969203,3117777285845
8.232571830463298,3117877285845
6.624381754207947,3117977285845
6.823936850013663,3118077285845
8.17805959113801,3118177285845
7.883000105884472,3118277285845
8.962594167057937,3118377285845
9.219885026199107,3118477285845
11.315712477678538,3118577285845
11.610326671066053,3118677285845
11.308545116096505,3118777285845
10.392575643381754,3118877285845
10.22898747291188,3118977285845
9.617564523148914,3119077285845
4.7574607649618725,3119177285845
1.9787853971086904,3119277285845
2.521073465323826,3119377285845
3.8112597678034614,3119477285845
5.4346354333572515,3119577285845
6.627275941357924,3119677285845
4.2206828493661375,3119777285845
5.747569078495678,3119877285845
6.261868853515107,3119977285845
8.008739791655312,3120077285845
15.403971723235063,3120177285845
24.36555422963322,3120277285845
30.16033612077857,3120377285845
32.94895363388943,3120477285845
31.65450213723378,3120577285845
28.967954976912925,3120677285845
28.89774281840736,3120777285845
29.5120775649777,3120877285845
28.270409836758585,3120977285845
28.83669134883965,3121077285845
31.294335992096034,3121177285845
33.778932782817954,3121277285845
32.50747760626196,3121377285845
30.48891211851486,3121477285845
30.083649133533438,3121577285845
34.98626746837248,3121677285845
40.814120105846726,3121777285845
45.46145787076602,3121877285845
44.851159754649544,3121977285845
42.67488823089255,3122077285845
37.27521314755743,3122177285845
36.996810742708185,3122277285845
35.296616304044235,3122377285845
32.79813301255928,3122477285845
32.66881638177978,3122577285845
35.167382067417336,3122677285845
34.729620299445216,3122777285845
32.692775929788944,3122877285845
30.830069287879237,3122977285845
31.61394502528031,3123077285845
39.223737072377574,3123177285845
41.67498578162372,3123277285845
44.83163248662913,3123377285845
41.11815139690785,3123477285845
35.20825092654877,3123577285845
34.18649761928093,3123677285845
32.832702494221955,3123777285845
29.908256023694285,3123877285845
28.39316589037597,3123977285845
31.152817364191538,3124077285845
30.996752963369552,3124177285845
27.697795906703334,3124277285845
26.785428084417962,3124377285845
27.846037748240423,3124477285845
37.11338300038845,3124577285845
40.79989043496692,3124677285845
45.15099177030344,3124777285845
40.99972268979421,3124877285845
36.25237687508554,3124977285845
35.33664725251876,3125077285845
34.73103724276554,3125177285845
32.862683146636925,3125277285845
28.85465150086196,3125377285845
31.08905134120794,3125477285845
32.78327118999122,3125577285845
29.771505903196196,3125677285845
29.825581390607976,3125777285845
29.800325873046784,3125877285845
37.84052163534706,3125977285845
41.90776895557907,3126077285845
44.254752475272255,3126177285845
42.913747882750016,3126277285845
41.133565196786776,3126377285845
39.5814079588951,3126477285845
39.75695188262353,3126577285845
40.61585602735883,3126677285845
42.518108248370424,3126777285845
41.87516334255386,3126877285845
44.58694191344779,3126977285845
44.06776573461035,3127077285845
43.61758779431485,3127177285845
41.48403028360863,3127277285845
41.773816242670776,3127377285845
45.47766893033585,3127477285845
47.93456014117814,3127577285845
48.45596566385665,3127677285845
49.917329734475146,3127777285845
49.15022084245698,3127877285845
46.788030088507746,3127977285845
46.134274516597436,3128077285845
41.09428702017178,3128177285845
40.27045117613317,3128277285845
39.50631451688566,3128377285845
38.39704124797858,3128477285845
38.307935575698274,3128577285845
35.195646360705794,3128677285845
32.33470344797025,3128777285845
33.367974538589785,3128877285845
38.44744748583571,3128977285845
41.40032548032824,3129077285845
44.83555872151468,3129177285845
43.5089988355185,3129277285845
37.8974493927894,3129377285845
39.58596283481556,3129477285845
39.63666725742613,3129577285845
38.00520778764604,3129677285845
37.03508009195973,3129777285845
37.073624784458104,3129877285845
36.53848583941853,3129977285845
35.5575750498092,3130077285845
33.73012739439616,3130177285845
33.30699917721862,3130277285845
37.21498197602856,3130377285845
39.002739884874785,3130477285845
39.16421467231279,3130577285845
39.00927653215346,3130677285845
37.66045634867041,3130777285845
37.083325329376024,3130877285845
36.37594749331818,3130977285845
35.972135796149786,3131077285845
36.108989120505335,3131177285845
35.137058733237986,3131277285845
35.905318264245174,3131377285845
36.003441925516675,3131477285845
35.25520312602654,3131577285845
34.55378795221922,3131677285845
