latitude,longitude
35.6809089,139.7639772
35.680921659,139.76398715273814
35.6809335782,139.76399645045075
35.680943,139.7640038
35.6809433588,139.76398588493748
35.6809437137,139.76396816576485
35.6809440564,139.76395105152355
35.6809444122,139.76393328826268
35.680944782,139.76391482673796
35.6809451365,139.7638971236399
35.6809454866,139.76387964152414
35.6809458338,139.76386230775304
35.6809462088,139.7638435836678
35.6809465627,139.76382591517032
35.6809469129,139.7638084255489
35.6809473,139.7637891
35.6809324114,139.76378912600632
35.6809171373,139.7637891526859
35.6809023698,139.76378917848064
35.6808864008,139.76378920637418
35.6808723277,139.76378923095604
35.6808574322,139.76378925697426
35.6808427658,139.76378928259243
35.6808328,139.7637893
35.6808326092,139.7638071953721
35.6808324141,139.76382548983187
35.6808322218,139.76384352769455
35.6808320282,139.76386168942554
35.6808318225,139.76388098056896
35.6808316248,139.7638995214685
35.6808314333,139.76391748620756
35.6808312321,139.76393635911347
35.6808310298,139.76395533261044
35.6808308401,139.7639731177291
35.6808306504,139.76399090991467
35.6808304657,139.7640082336889
35.6808302718,139.76402642158138
35.6808300695,139.76404539131065
35.6808298728,139.76406384873866
35.6808296711,139.76408275963098
35.6808294706,139.7641015701206
35.6808292751,139.7641199055784
35.6808290716,139.76413899362132
35.6808288759,139.7641573421606
35.6808286743,139.76417625127652
35.6808284762,139.76419482836286
35.6808285,139.7641926
35.6808436305,139.7641919776674
35.6808602991,139.76419129206914
35.6808737518,139.7641907387451
35.6808881316,139.7641901472863
35.6809032872,139.76418952391916
35.6809186565,139.76418889176435
35.6809332403,139.76418829191417
35.6809452,139.7641878
35.6809449815,139.76416952452473
35.680944755,139.76415058335078
35.6809445373,139.76413237751547
35.6809443288,139.76411493511935
35.6809441214,139.76409758682018
35.6809439117,139.7640800520559
35.6809437069,139.7640629203772
35.6809434972,139.7640453834097
35.6809432853,139.76402766473407
35.6809430635,139.76400911123164
35.680943,139.7640038
35.6809279782,139.76400486688757
35.6809136937,139.76400588141072
35.6809078,139.7640063
